ID,Language_ID,Headword,Part_Of_Speech,Entry_IDs,Homonym,IndoAryan_Proto_Form,Inflection_Class,Main_Entry,Media_IDs,Morphemic_Form,Origin,Phonetic,Restrictions,Usage,Variant_Form,Vernacular
LX001376,phl,loomúṭ,n.masc,LX001543,,"*lōka- 'light' (T: 11120) ; rṓka- 'light, splendour (masc)' (T: 10826)","a-decl (Obl, pl): -á",,,,,loomúʈ,,,,لومُٹ
LX001377,phl,looṛí,n.fem,,,,"a-decl (Obl, pl): -á",,,,,looɽí,,,,لوڑیۡ
LX001378,phl,lootanghaá,n.masc:pn,,,,ee-decl (Obl): lootanghaá,,,,,looʈaŋɡhaá,,,,لوتنگھا
LX001379,phl,looṭóo,v.tr,,,,"L:a (Prs): looṭáaynu, (Pfv): looṭóolu, (Cv): looṭaá, (Imp): looṭá",,,lóoṭ-á,,looʈóo,,,,لوٹو
LX001380,phl,loowíiṣṭ,n.masc,,,*lōhiṣṭha- 'very red' (T: 11169),"a-decl (Obl, pl): -a",,,,,loowíiʂʈ,,,,لووِیݜٹ
LX001381,phl,lúna,v.tr,,,"lunā́ti 'cuts, reaps' (T: 11082)","T (Prs): lunáanu, (Pfv): lúuntu, (Cv): luní, (Imp): lun",,,"lun-, lúunt-",,lúna,,,lúne (Biori),لُنہ
LX001382,phl,lúu lúu,MWE,LX001071,,,,,,,,lúu lúu,,,,لُو لُو
LX001383,phl,luumái,n.fem,LX001384,,*lōmaka- 'fox (masc)' (T: 11153),"a-decl (Obl, pl): luumée, luuméea",,,,,luuméj,,,lhooméi (Biori),لُومئیۡ
LX001384,phl,luumóo,n.masc,LX001383,,,"a-decl (Obl, pl): -a",,,,,luumóo,,,lhoomúwu (Biori),لُومو
LX001385,phl,lúuntu,v.tr,,,,,LX001381,,,,lúunto,,,,لُونتوۡ
LX001386,phl,lúungu,adj,LX001023,,,Reg (Fem): lúungi,,,lúung-,,lúuŋɡo,,,,لُونگوۡ
LX001387,phl,lúuṭi,n.fem,,,,m-decl (Pl): -m,,,,,lúuʈi,,,,لُوٹیۡ
LX001388,phl,lúugu,adj,,,,"Reg (Fem): lúugi ; a-decl (Obl, pl): lúuga",,,loog-,,lúuɡo,,,,لُوگوۡ
-m,phl,-m,sfx,-a_2 ; LX000962 ; LX000805 ; LX000034,,,,,,,,-m,,,,
